class_name,threshold,tp,fp,tn,fn,precision,recall_sensitivity,specificity,fpr,f1,balanced_accuracy,youden_j
Hernia,2.2106625828090657e-24,13.0,7114.0,18396.0,73.0,0.001824049389645012,0.1511627906976744,0.7211289690317523,0.2788710309682477,0.003604602800499099,0.4361458798647133,-0.12770824027057337
Hernia,2.142647587206589e-24,13.0,7124.0,18386.0,73.0,0.0018214936247723133,0.1511627906976744,0.7207369658957271,0.2792630341042729,0.0035996123494392907,0.43594987829670073,-0.12810024340659854
Hernia,2.0767252423704373e-24,14.0,7150.0,18360.0,72.0,0.001954215522054718,0.16279069767441862,0.7197177577420619,0.2802822422579381,0.0038620689655172414,0.4412542277082403,-0.1174915445835194
Hernia,2.012831058921609e-24,14.0,7168.0,18342.0,72.0,0.001949317738791423,0.16279069767441862,0.7190121520972168,0.2809878479027832,0.0038525041276829936,0.44090142488581774,-0.11819715022836452
Hernia,1.950902716848591e-24,14.0,7188.0,18322.0,72.0,0.0019439044709802832,0.16279069767441862,0.7182281458251666,0.2817718541748334,0.003841931942919868,0.4405094217497926,-0.11898115650041485
Hernia,1.8908796710769085e-24,14.0,7208.0,18302.0,72.0,0.001938521185267239,0.16279069767441862,0.7174441395531165,0.2825558604468835,0.003831417624521072,0.4401174186137675,-0.11976516277246496
Hernia,1.8327035458995745e-24,14.0,7235.0,18275.0,72.0,0.001931300869085391,0.16279069767441862,0.7163857310858487,0.2836142689141513,0.0038173142467620995,0.4395882143801336,-0.12082357123973275
Hernia,1.776317346116187e-24,14.0,7249.0,18261.0,72.0,0.0019275781357565745,0.16279069767441862,0.7158369266954135,0.28416307330458646,0.0038100421826098786,0.43931381218491605,-0.1213723756301679
Hernia,1.7216656542481542e-24,14.0,7271.0,18239.0,72.0,0.0019217570350034316,0.16279069767441862,0.7149745197961583,0.28502548020384166,0.0037986704653371318,0.4388826087352885,-0.12223478252942299
Hernia,1.6686956166148264e-24,14.0,7290.0,18220.0,72.0,0.0019167579408543264,0.16279069767441862,0.7142297138377107,0.2857702861622893,0.003788903924221922,0.4385102057560647,-0.1229795884878706
Hernia,1.617355267004072e-24,14.0,7313.0,18197.0,72.0,0.0019107410945816842,0.16279069767441862,0.713328106624853,0.286671893375147,0.0037771482530689327,0.4380594021496358,-0.12388119570072842
Hernia,1.5675944141407963e-24,14.0,7322.0,18188.0,72.0,0.0019083969465648854,0.16279069767441862,0.7129753038024305,0.28702469619756954,0.00377256804095931,0.43788300073842457,-0.12423399852315087
Hernia,1.5193645430793283e-24,14.0,7336.0,18174.0,72.0,0.0019047619047619048,0.16279069767441862,0.7124264994119953,0.2875735005880047,0.0037654653039268424,0.437608598543207,-0.12478280291358601
Hernia,1.4726187165958073e-24,14.0,7357.0,18153.0,72.0,0.001899335232668566,0.16279069767441862,0.7116032928263426,0.2883967071736574,0.00375486120423763,0.4371969952503806,-0.12560600949923884
Hernia,1.4273108849348911e-24,14.0,7379.0,18131.0,72.0,0.0018936832138509402,0.16279069767441862,0.7107408859270874,0.2892591140729126,0.0037438160181842493,0.43676579180075303,-0.12646841639849393
Hernia,1.3833971677087268e-24,14.0,7396.0,18114.0,72.0,0.0018893387314439945,0.16279069767441862,0.7100744805958448,0.28992551940415523,0.003735325506937032,0.4364325891351317,-0.12713482172973656
Hernia,1.3408345719979797e-24,14.0,7414.0,18096.0,72.0,0.001884760366182014,0.16279069767441862,0.7093688749509997,0.29063112504900035,0.0037263774287995743,0.43607978631270916,-0.12784042737458168
Hernia,1.2995813867822863e-24,14.0,7430.0,18080.0,72.0,0.0018807092960773778,0.16279069767441862,0.7087416699333595,0.2912583300666405,0.003718459495351926,0.4357661838038891,-0.1284676323922218
Hernia,1.2595975773707067e-24,14.0,7467.0,18043.0,72.0,0.0018714075658334448,0.16279069767441862,0.7072912583300667,0.2927087416699333,0.003700277520814061,0.4350409780022426,-0.12991804399551476
Hernia,1.220843799325593e-24,14.0,7484.0,18026.0,72.0,0.0018671645772205922,0.16279069767441862,0.7066248529988239,0.29337514700117606,0.0036919831223628696,0.4347077753366213,-0.1305844493267574
Hernia,1.1832823845387208e-24,14.0,7502.0,18008.0,72.0,0.0018626929217668972,0.16279069767441862,0.7059192473539788,0.2940807526460212,0.0036832412523020264,0.43435497251419874,-0.1312900549716025
Hernia,1.1468765523703843e-24,14.0,7518.0,17992.0,72.0,0.0018587360594795538,0.16279069767441862,0.7052920423363387,0.2947079576636613,0.003675505381990023,0.4340413700053787,-0.13191725998924264
Hernia,1.1115909026874616e-24,14.0,7533.0,17977.0,72.0,0.001855041738439115,0.16279069767441862,0.704704037632301,0.29529596236769895,0.0036682824577492466,0.43374736765335986,-0.13250526469328028
Hernia,1.0773908242177361e-24,14.0,7546.0,17964.0,72.0,0.001851851851851852,0.16279069767441862,0.7041944335554684,0.2958055664445316,0.0036620455139942457,0.43349256561494354,-0.13301486877011293
Hernia,1.0442429875879624e-24,14.0,7567.0,17943.0,72.0,0.0018467220683287165,0.16279069767441862,0.7033712269698158,0.2966287730301842,0.0036520151297769663,0.43308096232211724,-0.13383807535576553
Hernia,1.012114950893413e-24,14.0,7580.0,17930.0,72.0,0.0018435607058203845,0.16279069767441862,0.7028616228929832,0.29713837710701685,0.003645833333333333,0.4328261602837009,-0.13434767943259818
Hernia,9.80975554128332e-25,14.0,7597.0,17913.0,72.0,0.0018394429115753514,0.16279069767441862,0.7021952175617405,0.2978047824382595,0.003637780953618293,0.4324929576180796,-0.1350140847638408
Hernia,9.507941303250287e-25,14.0,7613.0,17897.0,72.0,0.0018355841090861413,0.16279069767441862,0.7015680125441004,0.2984319874558996,0.0036302346687410864,0.43217935510925953,-0.13564128978148093
