class_name,bin_index,bin_lower,bin_upper,count,mean_predicted_prob,empirical_positive_rate,abs_gap
Pneumonia,9,0.6,0.6666666666666666,0,,,
Pneumonia,10,0.6666666666666666,0.7333333333333333,0,,,
Pneumonia,11,0.7333333333333333,0.8,0,,,
Pneumonia,12,0.8,0.8666666666666667,0,,,
Pneumonia,13,0.8666666666666667,0.9333333333333333,0,,,
Pneumonia,14,0.9333333333333333,1.0,0,,,
Pneumothorax,0,0.0,0.06666666666666667,25596,2.9645732316406952e-05,0.10411783091107986,0.10408818517876345
Pneumothorax,1,0.06666666666666667,0.13333333333333333,0,,,
Pneumothorax,2,0.13333333333333333,0.2,0,,,
Pneumothorax,3,0.2,0.26666666666666666,0,,,
Pneumothorax,4,0.26666666666666666,0.3333333333333333,0,,,
Pneumothorax,5,0.3333333333333333,0.4,0,,,
Pneumothorax,6,0.4,0.4666666666666667,0,,,
Pneumothorax,7,0.4666666666666667,0.5333333333333333,0,,,
Pneumothorax,8,0.5333333333333333,0.6,0,,,
Pneumothorax,9,0.6,0.6666666666666666,0,,,
Pneumothorax,10,0.6666666666666666,0.7333333333333333,0,,,
Pneumothorax,11,0.7333333333333333,0.8,0,,,
Pneumothorax,12,0.8,0.8666666666666667,0,,,
Pneumothorax,13,0.8666666666666667,0.9333333333333333,0,,,
Pneumothorax,14,0.9333333333333333,1.0,0,,,
